,region,province,district,sub_district,province_eng,location,location_id
325,Central,สมุทรสาคร,เมืองสมุทรสาคร,พันท้ายนรสิงห์,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/พันท้ายนรสิงห์/Samut Sakhon,325
326,Central,สมุทรสาคร,เมืองสมุทรสาคร,โคกขาม,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/โคกขาม/Samut Sakhon,326
327,Central,สมุทรสาคร,เมืองสมุทรสาคร,ท่าจีน,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/ท่าจีน/Samut Sakhon,327
328,Central,สมุทรสาคร,กระทุ่มแบน,กระทุ่มแบน,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/กระทุ่มแบน/Samut Sakhon,328
329,Central,สมุทรสาคร,กระทุ่มแบน,ท่าไม้,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/ท่าไม้/Samut Sakhon,329
330,Central,สมุทรสาคร,เมืองสมุทรสาคร,Not Sated,Samut Sakhon,Central/สมุทรสาคร/เมืองสมุทรสาคร/Not Sated/Samut Sakhon,330
331,Central,สมุทรสาคร,กระทุ่มแบน,ตลาดกระทุ่มแบน,Samut Sakhon,Central/สมุทรสาคร/กระทุ่มแบน/ตลาดกระทุ่มแบน/Samut Sakhon,331
332,Bangkok,กรุงเทพมหานคร,บางแค,หลักสอง,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางแค/หลักสอง/Bangkok Metropolis,332
333,Central,สมุทรสาคร,Not Sated,Not Sated,Samut Sakhon,Central/สมุทรสาคร/Not Sated/Not Sated/Samut Sakhon,333
334,Bangkok,กรุงเทพมหานคร,บางบอน,Not Sated,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางบอน/Not Sated/Bangkok Metropolis,334
335,Bangkok,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,Bangkok Metropolis,Bangkok/กรุงเทพมหานคร/บางขุนเทียน/ท่าข้าม/Bangkok Metropolis,335
