,name_chain,chain_id
340,ANI Sushi (อันนิซูชิ),340
341,Tokyo Bowl (โตเกียว โบวล์),341
342,Hokkaido Milk,342
343,Shanghai Moon - Chinese Desserts (อาอี๊ เต้าทึงร้อน-เย็น),343
344,Five Star Chicken (ไก่ย่างห้าดาว),344
345,Umai by Tohkai,345
346,ShabuGo Buffet (ชาบูโก บุฟเฟต์),346
347,บ้านคุณกบ,347
348, คาเฟ่ ชาชงบางกอก   ๒๕๕๙,348
349,ไก่ย่างห้าดาว ไก่ทอด,349
350,เพลินพุง,350
351,สุดทางรัก,351
352,Bucket Berg,352
353,ทาโกะยากิ ทาโกะหมึกแดง,353
354,RAMEN KOURAKUEN (ราเมง โคราคุเอ็น),354
355,Chokul Shabu (โชกุล ชาบู),355
356,Fruzberry,356
357,Nippon Tei (นิปปอน เทอิ),357
358,Saboten (ซาโบเต็น),358
359,ข้าวแกงถนัดแดก,359
360,นิตยาไก่ย่าง,360
361,ตำอินดี้,361
362,ก๋วยเตี๋ยวเตาถ่านออนเซ็น ,362
363,คั่วไก่เจ๊เนี้ยว,363
364,สวนผัก โอ้กะจู๋,364
365,เจ๊หอย,365
366,อิ่มเอิบแหนมเนือง,366
367,MOS BURGER (มอส เบอร์เกอร์),367
368,สมนึกไก่ย่าง,368
369,Thai Terrace (ไทยเทอเรส),369
370,เล่งหงษ์,370
371,ปั้นลี่เบเกอรี่,371
372,โทริมารุ คาราอาเกะ,372
373,BLACKJACK Caffe (แบล็คแจ็ค),373
374,Meetang Steak (มีตังค์ สเต็ก),374
375,Kouen Sushi Bar (โคเอ็นซูชิบาร์),375
376,อิ่มปลาเผา,376
377,โกปี๊ สยาม,377
378,Sushi Hiro (ซูชิฮิโระ),378
379,โกดังนมสด,379
380,Mr.Shake (มิสเตอร์เชค),380
381,เรือนเพชรสุกี้,381
382,Panda King Chinese Food (แพนด้า คิงส์),382
383,TAROTO (ทาโรโตะ),383
384,Laoyuan (ลาวญวน),384
385,Wall's (วอลล์),385
386,ลิ้มเหล่าโหงว,386
387,Yoshinoya (โยชิโนยะ),387
388,Jones' Salad (โจนส์ สลัด),388
389,Marra'Cha,389
390,Bonjour (บองชู),390
391,ก๋วยเตี๋ยวไม่จำเจ Panda Veggie Noodles,391
392,หยกสด ขนมไทยใบเตย,392
393,กะเพรา แม่บง,393
394,โกปี๊เฮี้ยะไถ่กี่,394
395,Maguro Sushi (มากุโระ ซูชิ),395
396,ฮั่วเซ่งฮง,396
397,แดกป่ะ พิซซ่าถูก,397
398,Oni milk & tea,398
399,Baimiang Healthy Shop,399
400,Ka nom FU (ขนมฟู),400
401,ไผ่ทองสเตชั่น,401
402,สอาดเสวย ลูกชิ้นปลา,402
403,กล้วยทอดอัมพวา by โมโต้,403
404,Mungkornbin (มังกรบิน),404
405,Moomgapao (มุมกะเพรา),405
406,Magnolia icecream (ไอศกรีมแมกโนเลีย),406
407,RedSun (เรดซัน),407
408,Kabocha Sushi (คาโบฉะ ซูชิ),408
409,Ono Sushi,409
410,ห่อหมกพุดดิ้ง,410
411,Tonklar Facai (ต้นกล้า ฟ้าใส),411
412,SeoulChon (โซชอน),412
413,Yogurtland (โยเกิร์ตแลนด์),413
414,ซาลาเปาทับหลี ประกายจันทร์,414
415,ก๋วยเตี๋ยวหมูต้มยำตำลึงนายเอก,415
416,TO BE COFFEE (ทูบี คอฟฟี่),416
417,เจ๊อ้อย หมี่กระเฉดตลาดพลู,417
418,WaQ Yakiniku (วาคิว ยากินิคุ),418
419,April’s Bakery Delivery,419
420,แสนแซ่บ,420
421,หมูทอดกอดคอ,421
422,Flash Coffee Thailand,422
423,อืมม!..มิลค์,423
424,Chubbies,424
425,Baskin Robbins (บาสกิ้นร้อบบิ้นส์),425
426,MX Cakes & Bakery (เอ็ม เอกซ์ เค้ก แอนด์ เบเกอรี),426
427,บุญตงกี่,427
428,ก๋วยเตี๋ยวนายใบ้ย้อนยุค,428
429,the baristro,429
430,บ้านเค้ก Homemade,430
431,Saint Etoile by Yamazaki (แซง เอตัวล์ บาย ยามาซากิ),431
432,COFFEE A DAY (คอฟฟี่ อะ เดย์),432
433,Santa Fe' Steak (ซานตา เฟ่ สเต็ก),433
434,Tsukemen Jo,434
435,The Orchard Restaurant (ดิ ออร์ชาด เรสเตอรองท์),435
436,Stamina En,436
437,KIN DONBURI Café (คินดงบุรี คาเฟ่),437
438,Tudari (ทูดาริ),438
439,Jiffy (จิฟฟี่),439
440,เรือนปั้นหยา,440
