url,name,roomType,roomStyle,roomSize,monthlyRent,dailyRent,roomContract,minMonthlyRent,maxMonthlyRent,minDailyRent,maxDailyRent,apartment_url
https://www.renthub.in.th/บ้านแดนตะวันเหนือ-เดินทางสะดวก-ใกล้-มช-นิมมาน-สนามบิน-ขับรถ-เพียง1-นาที-ถึง-มช,บ้านแดนตะวันเหนือ (เดินทางสะดวก ใกล้ มช. นิมมาน สนามบิน) ขับรถ เพียง1 นาที ถึง มช.,พัดลม,1 ห้องนอน,20.0,"3,000 บาท",-,,3000.0,3000.0,,,
https://www.renthub.in.th/บ้านแดนตะวันเหนือ-เดินทางสะดวก-ใกล้-มช-นิมมาน-สนามบิน-ขับรถ-เพียง1-นาที-ถึง-มช,บ้านแดนตะวันเหนือ (เดินทางสะดวก ใกล้ มช. นิมมาน สนามบิน) ขับรถ เพียง1 นาที ถึง มช.,แอร์(เล็ก),1 ห้องนอน,20.0,"3,700 บาท",-,,3700.0,3700.0,,,
https://www.renthub.in.th/บ้านแดนตะวันเหนือ-เดินทางสะดวก-ใกล้-มช-นิมมาน-สนามบิน-ขับรถ-เพียง1-นาที-ถึง-มช,บ้านแดนตะวันเหนือ (เดินทางสะดวก ใกล้ มช. นิมมาน สนามบิน) ขับรถ เพียง1 นาที ถึง มช.,แอร์(ใหญ่),1 ห้องนอน,25.0,"4,200 บาท",-,,4200.0,4200.0,,,
https://www.renthub.in.th/บ้านแดนตะวันเหนือ-เดินทางสะดวก-ใกล้-มช-นิมมาน-สนามบิน-ขับรถ-เพียง1-นาที-ถึง-มช,บ้านแดนตะวันเหนือ (เดินทางสะดวก ใกล้ มช. นิมมาน สนามบิน) ขับรถ เพียง1 นาที ถึง มช.,แอร์(รายวัน),1 ห้องนอน,25.0,-,490 - 690 บาท,,,,490.0,690.0,
https://www.renthub.in.th/เจดี-เรสซิเด้นท์--2,เจดี เรสซิเด้นท์,แอร์,สตูดิโอ,25.0,"3,800 - 4,500 บาท",-,,3800.0,4500.0,,,
https://www.renthub.in.th/เจดี-เรสซิเด้นท์--2,เจดี เรสซิเด้นท์,พัดลม,สตูดิโอ,20.0,"3,400 - 3,600 บาท",-,,3400.0,3600.0,,,
https://www.renthub.in.th/เจดี-เรสซิเด้นท์--2,เจดี เรสซิเด้นท์,VIP,3 ห้องนอน,65.0,"10,000 - 12,000 บาท",-,,10000.0,12000.0,,,
https://www.renthub.in.th/เบญจรัตน์-อพาร์ทเม้นท์,เบญจรัตน์ อพาร์ทเม้นท์,"เตียงเดี่ยว, เตียงคู่ (พัดลม)",สตูดิโอ,25.0,"2,400 - 2,600 บาท",-,,2400.0,2600.0,,,
https://www.renthub.in.th/เบญจรัตน์-อพาร์ทเม้นท์,เบญจรัตน์ อพาร์ทเม้นท์,"เตียงเดี่ยว, เตียงคู่ ( แอร์)",สตูดิโอ,25.0,"2,800 - 3,000 บาท",-,,2800.0,3000.0,,,
https://www.renthub.in.th/เบญจรัตน์-อพาร์ทเม้นท์,เบญจรัตน์ อพาร์ทเม้นท์,VIP (แอร์),1 ห้องนอน,40.0,"4,000 - 4,200 บาท",-,,4000.0,4200.0,,,
